id,first_author,n_authors,title,abstract,language,publication,source_type,source,first_author_country,type,publication_year
22,Backe,1,Within the Mainstream: An Ecocritical Framework for Digital Game History,"Ecocriticism of digital games has so far engaged with a rather small corpus of examples, often prescriptively and with a quite limited methodological toolkit. This essay systematizes and historicizes some of these commonly found limitations of past research and proposes methods for a more historically and generically diverse exploration of ecological thinking vis-à-vis digital games. The majority of discussions of games from an ecocritical perspective has applied concepts and frameworks borrowed from literature and film studies, thus privileging surface semiotics over game mechanics. More methodically aware studies have oriented themselves toward the popular framework of procedural rhetoric (Bogost 2007), resulting both in a selection bias towards serious games and an author-centric, intentionalist slant inherent in the approach. In general, the discussion revolves around a small number of games with apparent ecocritical potential, such as Myst (Cyan 1993) or Farmville (Zynga 2009), resulting in a selective, a-historic and therefore distorted discussion of ecology in the diverse medium of digital games. This essay discusses strategies for dealing with a larger corpus of digital games through a descriptive matrix for identifying and analyzing the ecological dimension of digital games. It proposes an extension of the ecocritical toolkit by including a more user-centered, ethics-based theoretical framework based on Sicart’s Ethics of Computer Games (2009). The gain of engaging with representation and simulation of the natural environment in mainstream computer game history will be demonstrated in an analysis of two paradigmatic games. In both Red Dead Redemption (Rockstar San Diego 2010) and Dishonored (Arkane Studios 2013), we encounter game design geared toward producing ludo-narrative dissonances which are highly inductive of critical engagement with the ecosphere.",English,143,url,https://doi.org/10.37536/ECOZONA.2017.8.2.1362,39,non_empirical,2017
23,Baerg,1,No Animals Were Harmed in the Playing of This Game: Hunting Ethics in Virtual Space,"This essay surveys the literature on digital games and ethics to address the ways in which ethics are mediated in video games. It then considers the limited scholarship engaging the intersections of digital games and nonhuman animals. The essay uses this literature to perform a textual analysis of theHunter: Call of the Wild as a case study contributing to broader discussions of the mediation of nonhuman animals in digital games. The paper specifically focuses on the game’s mediation of an ethics of hunting. The game’s missions mediate hunting anthropocentrically, while its rules represent a hunting style that is in accordance with the hunting community’s self-proclaimed care for nonhuman animals. The essay thereby makes a contribution to the meager research on the relationship between human and nonhuman animals in digital games.",English,214,url,https://doi.org/10.1163/15685306-bja10174,3,non_empirical,2024
24,Bainbridge,1,'It is a Pokémon world': The Pokémon franchise and the environment,"Originating in 1996, Pokémon has become the second most successful game-based franchise in the world and arguably one of the best known examples of transmedia storytelling in youth media today. Based around creator Satoshi Tajiri’s love of insect collecting, Pokémon imagines a world where wild creatures exist to be collected, trained and battle with one another. Such an ideology, simultaneously embracing both the conservation and consumption of nature, is emblematic of the larger challenges Japan has had to negotiate as a nation trying to balance economic development and environmental protection. In this way, this article argues that, when subjected to textual analysis, the Pokémon franchise can function as vernacular theory, interrogating the relationship between environmentalism, materialism and sustainable development, a series of popular youth media texts engaging with issues and subjects that are usually reserved for academia.",English,164,url,https://doi.org/10.1177/1367877913501240,4,non_empirical,2014
44,Buettel,2,Egress! How technophilia can reinforce biophilia to improve ecological restoration,"For effective and sustained ecological restoration, community support is essential. Yet, in modern society, artificial constructs and electronic technology now dominate most peoples’ interests (technophilia). This has led to a perceived growing disconnection between humans and nature.We ask howsuch technology might be harnessed as an agent of connection to the environment, rather than being seen as a driver of detachment. We use the example of a hugely popular mobile augmented reality smartphone game “Ingress” to show how gaming technology can excite people about nature, unlock their inherent biophilia, and highlight the value of ecological restoration in their everyday lives.",English,204,url,https://doi.org/10.1111/rec.12387,4,non_empirical,2016
25,Baker,1,"Civilization and Its Contents: Procedural Rhetoric, Nationalism, and Civilization V","Computer, video, and mobile games have become a dominant presence in popular culture. However, the nature and extent of the rhetorical work games perform is not fully understood. The content and form of games differs from older media in ways that make it difficult to understand how they contribute to public discourses and shape worldviews. The difference is that games derive their rhetorical force from their procedural, rather than their narrative, content. Games make their arguments through the rules and mechanics of the game. These procedures both encourage and require the player to engage with the game in ways that reinforce the arguments being made through the procedures. In this thesis, I contribute to two scholarly conversations through an examination of the computer game Civilization V. The first is a theorization of what features of a game’s procedures make them persuasive. The second is an exploration of the ways Civilization V informs and shapes the exigent discussions surrounding nuclear proliferation and climate change. I argue that the procedural rhetorics of Civilization V make persuasive arguments in favor of nationalistic nuclear and climate policies.",English,105,url,https://digitalcollections.sdsu.edu/do/d470e56a-f04d-49ec-a950-95a8925cf205#mode/2up,3,non_empirical,2017
26,Barnes,1,Onkwehón:we play: Decolonizing videogame ecology and disrupting environmental racism,"Environmental racism manifests in videogames and is an under-explored facet of videogame ecology, as are Indigenous worldviews such as relationality. Using primarily decolonial poststructuralist semiotic analysis and Indigenous Métissage, this thesis highlights the signs and simulacra of environmental racism (eg. resource extraction, water access, climate change, borders) in videogames that affect bodies of colour in real life such as the migrants from Central America, Black folks in North America, and Indigenous peoples of Turtle Island. The hope is that this critical exploration can work as a starting point for social justice education about environmental racism and relationality from Indigenous worldviews (specifically those of the Néhiyaw, the Iñupiat, and the Haudenosaunee). The games analyzed in this experiment are SimCity BuildIt, Civilization VI, Fallout: New Vegas, and Kisima Inŋitchuŋa (Never Alone).",English,105,url,https://era.library.ualberta.ca/items/73dcd6be-695b-4a40-a94a-ca3d1b978d88,8,non_empirical,2021
27,Bartholomew,1,Using Pokéman GO to Teach Integrative STEM,"According to Wells & Ernst (2015) Integrative STEM Education can be defined as: '"...the application of technological/engineering design-based pedagogical approaches to intentionally teach content and practices of science and mathematics education through the content and practices of technology/engineering education. Other scenarios and opportunities for using Pokémon GO could draw on different courses and areas such as: * Computer science (programming an interactive map that displays where Pokémon have been found by students at your school). * Web design (students could design an augmented reality website that embeds student user Pokémon totals, wins, and other information recorded from their Pokédex). * Manufacturing (students could design, construct, and test their own Pokéballs out of a variety of materials). * Art (students draw, model, or paint their own Pokémon).",English,218,url,http://hdl.lib.byu.edu/1877/8318,3,non_empirical,2017
28,Barton,1,Creating Climate Conscious Players: Final Fantasy VII’s Ecoactivist Fan Communities,"This paper examines the ecocritical message espoused by characters in Final Fantasy VII and Final Fantasy VII Remake and uses affect theory to better understand fan response to these beliefs. From there, I note the publishing company, Square-Enix, recently declared interest in pursuing NFT technology as a potential revenue stream despite the environmental concerns this technology brings, which resembles the villainous organization Shinra in these games. Fan response Square-Enix’s NFT projects indicates how fans may identify with and absorb the ideologies of characters in video games, even when that ideology sets the fans in opposition with the companies behind the original game(s).",English,199,url,https://doi.org/10.4467/20843860PK.22.041.17095,3,non_empirical,2022
29,Best,1,Digital Game Ecologies: Posthuman Convergences in Abzû and Horizon: Zero Dawn,,English,47,isbn,9781501398407,,non_empirical,2023
30,Bianchi,1,Rhetoric and recapture: Theorising digital game ecologies through EA’s The Sims series,"This essay offers an ecocritical approach to studying games that accounts for the relationships between nature, technology and culture as they are configured by game design. By performing a reading of rhetoric and technological recapture in Electronic Arts’s (EA’s) The Sims series, the essay untangles how game design and game technology reflect ideologies – sometimes even conflicting ones – about how humans should relate to and interact with nature. This essay also argues that advancements in digital game technology afford designers and players the option to explore and perpetuate more complex and diverse ideologies about humans and nature that move away from anthropocentric and speciesist perspectives.",English,154,url,https://doi.org/10.1080/14688417.2014.963881,3,non_empirical,2014
31,Bianchi,1,Simulated Species: The Question of the Animal in Digital Games,"While scholars examine how art, literature, and film shape concepts of the animal, the recent proliferation of computer technologies demands research investigating how the digital mediates notions of a human-animal divide. Digital games, as transmedial objects and as medium, offer one significant avenue for such explorations. As media studies and animal studies scholar Tom Tyler observes, the unique properties of games allow players nuanced and insightful engagements with animal ontology, otherness, and agency. Still, representations of animals in digital games remain mostly neglected by scholarship in animal studies, game studies, and other related fields. This dissertation attempts to address this paucity of scholarship by providing an interdisciplinary approach to reading animal representations within the medium. Simulated Species argues for scholarly engagement with animal representations in specific computer game genres. The project proposes a framework for understanding how different genres address animals by drawing on the works of media studies scholars such as Terry Harpold, Ian Bogost, Alexander Galloway, and others. Scholarship in animal studies, posthumanist theory, play theory, and game studies inform my analysis of how storytelling, user interfaces, and game mechanics respond to dominant discourses about animals. In reading several games, such as Zoo Tycoon (2013), Goat Simulator (2014), Splatoon (2015), and others, Simulated Species argues that some games uniquely model nuanced understandings of animal ontology and human-animal biopolitics, suggesting ethical approaches to both human-animal interactions and to game design. The first chapter of this project reviews relevant scholarship, each subsequent chapter attends to distinct game genres. The first and second body chapters examine genres that cast players as human characters and simulate their institutional and individual interactions with nonhuman species. The fourth and fifth chapters explore games that (re)imagine human-animal relations through games that have players play as (rather than with) digital animals. These latter games can teach players to acknowledge and appreciate biological others beyond the confines of the game world while also challenging notions of the player as predominantly, if not exclusively, human.",English,105,url,https://ufdc.ufl.edu/UFE0052485/00001,3,non_empirical,2018
32,Bianchi,1,Ecoplay: The rhetorics of games about nature,"This chapter focuses on an alternative framework for analyzing how games make arguments about nature, the environment, and ecologies. Locating digital games and play within broader discursive and rhetorical ecologies through ecoplay can further illuminate how digital games cultivate environmental awareness; continue to establish the importance of green game studies to ecocriticism and game studies; and change how we play, analyze, and design games about nature. Game studies scholars; however, have highlighted several rhetorical qualities of games, such as their interactivity and their ability to model alternative possibilities that require specialized frameworks for rhetorical ecocriticism. Play theory is useful for rhetorical ecocriticism because it considers the interactions between players’ beliefs and the values presented to players through game systems. The meditation statues in ABZU introduce players to environmental rhetorics that negotiate between different ideas of nature. Ecoplay, through its connections to ecospeak and ecosee, can situate the rhetorics of computer games within broader media ecologies.",English,51,isbn,9780429399121,3,non_empirical,2019
33,Bianchi,1,Beyond Barren Wastelands: The Greening of the Post-apocalypse in Video Games,"Video games often depict post-apocalyptic environments characterized by loss and destruction. Some video games, however, challenge this paradigm through representations of lush greenery and thriving gardens that signify environmental recuperation in the wake of world-ending devastation. This essay explores how these virtual worlds engage with ecological recovery and connection by drawing on critical plant studies and scholarship about video games as ecomedia. Specifically, the essay analyzes two video games: Plants vs. Zombies and Cloud Gardens. Despite their different mechanics and aesthetics, both games envision speculative futures where vegetation thrives in the post-Anthropocene. Plants vs. Zombies tasks players with amassing an army of formidable foliage to combat hordes of the living dead, while Cloud Gardens prompts players to cultivate flora in neglected manufactured landscapes. In each game, plants are cast as vital agents in shaping the environment, encouraging players to critically consider nonhuman ontology and humans’ ecological entanglements. These playful plantings also reflect on practices concerning resource scarcity, sustainability, and related environmental issues. In examining these games, the essay demonstrates the potential for video games to promote ecocritical or “green” perspectives through the post-Anthropocene, posthuman, and post-apocalypse.",English,176,url,"https://gamescriticism.org/2024/09/06/bianchi-6-a/#:~:text=This%20essay%20explores%20how%20these,Zombies%20and%20Cloud%20Gardens.",3,non_empirical,2024
34,Bianchi,1,Playing the Animal: Imagining the Nonhuman Animal in Two-Dimensional Action and Adventure Games,"The unique affordances of computer technologies make video games a useful medium for speculating on nonhuman animals and our relationships with them. Scholars have demonstrated how games as speculative fictions can encourage players to acknowledge animal embodiment and agency as well as how games (mis)represent and challenge real-world human–animal interactions. Still, scholarship about representations of animals in video games remains relatively scarce and primarily focused on specific styles and genres of games despite a plethora of diverse animal character designs. This chapter broadens studies of animals in video games by attending to their designs in two-dimensional action and adventure games, specifically Frogger (1981) and The Plan (2013). By examining these games as works of speculative fiction, this chapter identifies how they imagine the marginalized position of animals in the Anthropocene and reflects on the broader implications of these artifacts for developers creating video games that critically consider animals.",English,35,url,https://doi.org/10.1007/978-3-031-41695-8_4,3,non_empirical,2024
35,Bledstein,1,Gaming Together: The Communal Journey in Upper One Games’ Never Alone,"This paper examines Upper One Games’ Never Alone, or Kisima Inŋitchuŋa, as an aesthetic expression of cultural pride, communal engagement, and broader collectivity. The game, developed in conjunction with the Cook Inlet Tribal Council, a non-profit indigenous organization working in Alaska, tells the story of Iñupiat girl Nuna. Along with her Arctic fox companion, she leaves her village to seek the source of a blizzard that ravages her tribe’s community. The basic elements of the plot stem from the ancient Iñupiat myth “Kunuuksaayuka”. In addition to these mythological elements, there are video interviews with members of the Iñupiat throughout the game in which they provide players with information about the tribe’s customs, traditions, and relationship with the land. Nuna’s expedition and the cultural material surrounding it demonstrate the vitality of the Iñupiat and encourage relationships with the community. The game’s themes of survival and communal responsibility reflect the Iñupiat’s experiences in contemporary Alaska and cultural values. Beyond the expression of Iñupiat culture within Never Alone’s basic structure, cooperative play mode, in which one player plays as Nuna and another plays as the fox, allows for a particularly powerful experience of togetherness. Their journey combines folkloric material with the formal capacities of video games to engage audiences with cultural traditions and practices. Never Alone is a vital artistic contribution to awareness and collectivity within and beyond the Iñupiat community.",English,208,url,https://doi.org/10.24877/rt.12,8,non_empirical,2017
36,Blower,1,"Ecological Outlaws: Slow Violence and Natural Encounter, from the Arcade Western to Rockstar''s Digital Frontier",,English,62,isbn,9780806192598,5,non_empirical,2023
37,Bódi,1,"The Duality of Cozy Games: Cozy Agency, Neoliberalism, and Affect","Cozy games can be thought of both as indoctrination into, and escapism from, anxieties caused by neoliberal ideology underpinning the late-capitalist apparatus championing productivity, progress, and quantifiable result generation. I draw on sociologist Anthony Giddens’ notion of “ontological security” – which refers to our sense of stability and safety that we draw from continuous, and therefore reliable, predictable, unthreatening, and familiar sequences of events or activities happening in our everyday lives – and propose the concept of “cozy agency” to productively examine the aesthetics of games that are not characterized by a hypermasculine drive to successfully overcome challenges, nor by the inessentiality of player action typical of idle games. Research on lifestyle media, cuteness, and vegetal affect is put into dialogue to theorize the modalities of agency typical cozy game aesthetics can afford and constrain. Such an approach is in line with recent shifts in discourses of agency and interactivity in game studies, which criticize these two terms for being too binary, masculine, and not accommodating alternative forms of engagement with games, with recent scholarship on agency especially calling for a politicization of the term and a call to delve into the significance of meaningful empowerment to act in/with/on/through games.",English,203,url,https://doi.org/10.18778/2391-8551.11.04,5,non_empirical,2024
38,Bohunicky,1,Ecocomposition: Writing ecologies in digital games,"This paper contributes to digital writing studies and the emergent field of game composition by exploring how writing in the PC and console editions of Mojang Studio’s Minecraft reconciles putative antagonisms between nature and technology. I suggest that writing in Minecraft models Sidney I. Dobrin and Christian Weisser’s concept of ‘ecocomposition’, which theorises that nature and discourse are coconstituents. Players’ discourse consists of the rocks, trees, dirt, water and biological matter, and this discursive matter provides a set of symbols with which they can write shelter, tools and media. Additionally, I suggest that Minecraft’s writing technology entangles writing surface and practice with nature by extending the surface of the ‘crafting grid’ across its environment. I conclude that while Minecraft’s model of ecocomposition encourages writing studies of digital games that show the connections between writing, nature and materiality, much of this early eco-game media is entrenched in Cartesian notions of plant, animal and mineral agency that reduces ecological complexity.",English,154,url,https://doi.org/10.1080/14688417.2014.964283,3,non_empirical,2014
39,Bohunicky,1,Ecomods: An Ecocritical Approach to Game Modification,"As systems that model complex relationships, digital games encourage players to enact Morton''s '"ecological thought'" through the actions players perform within the game world. Yet these representations, as Alenda Chang (2011) has noted, '"commit at least one if not all of the following missteps in their realization of in-game environments: relegating environment to background scenery, relying on stereotyped landscapes, and predicating player success on extraction and use of natural resources'" (58). In other words, the flora and fauna players find are often reduced to non-interactive set pieces, thereby stripping actions of the ecological and environmental impact they could have. Despite these problems, ecocritical approaches to digital games have sought to re-assert the significance of connections between game ecologies and their environmental representations by tracing cultural associations (Bianchi, Barton), and by investigating problems with materiality and waste (Apperley and Jayemanne). This essay builds on these approaches by considering “modding,” short for “modifications,” as an area for ecocritical intervention in the flattening of games'' environmental representations. Specifically, this essay examines the thriving environmental modding communities around Bethesda Softworks’ The Elder Scrolls V: Skyrim. Although some of the mods released for Skyrim emphasize visual enhancements, others re-connect players to the game’s ecology and environment in meaningful ways.",English,143,url,https://doi.org/10.37536/ECOZONA.2017.8.2.1352,3,non_empirical,2017
40,Boisvert-Bondu,3,Repenser la conscientisation aux enjeux écologiques dans l’industrie du jeu vidéo à partir de Freire,"Les jeux vidéo sont un espace de changement social encore sous-exploité dans la lutte à la crise climatique. Le présent article propose d’explorer la place de la conscience environnementale dans les jeux vidéo afin d’encourager le développement de jeux à impact positif. Il présente d’abord le concept d’écologie sociale et les possibilités de son application dans un contexte ludique. Il propose ensuite d’explorer la pédagogie de Paulo Freire comme étant le chaînon reliant l’écologie sociale et le jeu vidéo. Il discute ensuite des limites inhérentes de l’industrie vidéoludique et du jeu relativement à la conscientisation environnementale, de sa conception à sa mise en marché, et ouvre vers des pistes futures qui permettraient d’exploiter le plein potentiel d’un média interactif pour conscientiser à la crise climatique. Finalement, l’article avance que ce travail ne peut s’accomplir sans une remise en question de nos institutions et réitère le besoin urgent d’un dialogue ouvert sur l’enjeu climatique entre les différents acteurs de l’industrie du jeu vidéo.",French,211,url,https://doi.org/10.4000/sdj.5281,8,non_empirical,2023
41,Bonner,1,On Striated Wilderness and Prospect Pacing: Rural Open World Games as Liminal Spaces of the Man-Nature Dichotomy,"From colonization to (post)industrial era, recreation guised as preservation of wilderness is a concept and ongoing topic in arts and media. This paper defines the distinct staging of untamed and pristine environment in open world games as striated wilderness which is constituted by aesthetics and gazing regimes of Western culture as well as by modularity and variability of computer games as data bases. Merging the wilderness discourse with concepts of tourist gaze and prospect-refuge theory, rural open world games can be analyzed as rhythmized liminal spaces of the man-nature dichotomy. Thus, they stand in the tradition of landscape gardens and nature parks where former survival instincts and urges for exploration are experienced for recreation and entertainment. Striated wilderness has to be differentiated between place (wilderness) and practice (wildness). How do open world games regulate our understanding of landscape and longing for nature?",English,91,url,https://dl.digra.org/index.php/dl/article/view/938,47,non_empirical,2018
42,Breitling,1,Virtual Laboratories: Mesocosms and Gameworlds,"This article explores the role of digital games as virtual laboratories for addressing ecological and climate change challenges. It begins by examining the intersection of citizen science and digital gaming, specifically initiatives that have enabled global communities to contribute to ecosystem preservation efforts through collaborative data collection, analysis, and problem-solving that have been vital for monitoring marine habitats. Building upon these developments, we will explore how digital games share parallels with mesocosms, attempting to render ecological and Earth systems phenomena legible while simultaneously contributing to contemporary debates surrounding biodiversity, species loss, and climate change. Notably, digital gameworlds have expanded their scope beyond simple ecological simulations, incorporating intricate climate models alongside social, political, and historical elements to craft nuanced, evolving virtual environments that attempt to reflect the fragile interconnection of systems on a planetary scale.",English,226,url,https://doi.org/10.46938/tv.2024.626,37,non_empirical,2024
43,Brown,1,The Garden in the Machine: Video Games and Environmental Consciousness,"“The Garden in the Machine” looks at how video games might raise environmental consciousness and compel thought about human-environment relations. Although games are deeply embedded within networks of exploitation and environmental degradation, they might provide a basis for thinking environmental issues in three ways: as procedural arguments, as spatial allegory, and as simulated, ethically disposed boredom. While independent games like Fort McMoney (2014) attempt to overtly intervene in discourses about oil, energy, and environmental degradation, many popular games like Far Cry 4 (2014) offer a more complex simulation of natural spaces that might be read as allegories for the discursive position of “nature” in modern society. Finally, a third type of game, exemplified by Proteus (2013), forces its users to withhold from the violent exploitation of nature, compelling instead a contemplative attitude toward the world.",English,193,url,https://www.proquest.com/docview/1698103038/fulltext/A30ABC70A0A347DFPQ/1?accountid=13042&sourcetype=Scholarly%20Journals,,non_empirical,2014
45,Burton,1,"Vibrant Media Matter: Video Games, Social Media and Ecological Justice","This thesis builds a framework for media studies that is better able to address the role of media in issues of environmental and ecological justice. Rooted in Jane Bennett’s “vibrant materialism,” this framework critiques subject-object orientations in order to break down ontological heirarchies of matter that center humans to instead regard all matter (including meda matter) as coequal, coactant, and vibrant. Media has the potential to reflect and reproduce our most ecologically destructive ideologies, but also to mediate and reshape a relationship with our environment and ecology that is more sustainable and just for both human and nonhuman entities. All our media things—video game worlds, computer hardware, social media platforms—have ecologically capacities. For media and media studies to address issues of ecological justice, media scholars, makers, and consumers must reckon with the capacities of nonhuman things and our ecological relationship with them. Using Legend of Zelda: Breath of the Wild as its primary case study, this project pulls together literature from a variety of disciplines, including posthumanism, video game studies, fan studies, and environmental studies. It applies its vibrant materialist framework to Breath of the Wild as a video game text, as well as to online engagement in connection with the game, IRL engagment with real-world environments, and the ecological threats those environments face. Highlighting the affective force (the “thing-power,” as Bennett would say) of nonhuman things and places—from Hyrulian forests, to r/Zelda Reddit threads, to the real-world neighborhoods of players and watersheds of the Great Salt Lake—this project consdiers how the affects of humans and nonhumans reverberate across the boundaries of the virtual and the physical, of nature and culture, affectively tieing us and our media things into a vibrant material ecology—for better or worse. This project posits that we are “vibrant cyborgs”—human selves rife with the affects of nonhumanity, affectively interwoven with both our technologies, our fictions, and the “natural” world. Lastly, this project suggests some further directions for future ecomedia research to explore.",English,105,url,http://dx.doi.org/10.26153/tsw/48122,3,non_empirical,2023
46,Butucea,1,Gaming as Everything. Challenging the Anthropocene through Nomadic Performativity,"In this article I will discuss David OReilly’s video game Everything (2017), suggesting that its unique dramaturgy portrays an ecology in which the human is seen as forging alliances and interconnections with the non-human. Set in a seemingly infinite open-world environment, the game revolves around the player exploring vast digital landscapes from the vantage point of multiple nonhuman avatars. Wandering about with no defined goal or direction, I played as animals, plants, rocks, continents, and even galaxies, shifting from one state to the next and making unexpected alliances along the way. Employing Audronė Žukauskaitė’s concept of “nomadic performativity” (2015), I will suggest that the game’s dramaturgy invites the player to imagine the human as deeply embedded in a wide system of interaction with non-human others, as an immanent part of an ecosystem, rather than a transcendental being outside of it. In articulating this idea, Everything puts forward a theatrical critique of the human domination and othering of the natural environment that underpins and drives the Anthropocene.",English,188,url,https://doi.org/10.7146/nts.v32i1.120413,5,non_empirical,2020
47,Caciuc,1,Reflections on the Ecologic Ethics in Online Games,"This paper studies the reflection of ethic relations between the interests of human beings and of non-human beings in online games and eco games. It will include a philosophical analysis of the inherent value of nature, emphasized by the aesthetic characteristic of being natural etc., and on the same time it will follow the impact that online games have on the education of the young generations’ ecological awareness and behaviour.",English,167,url,https://journals.aseiacademic.org/index.php/ijsei/article/view/25,38,non_empirical,2014
